market,orders,revenue_usd,profit_usd,profit_margin_pct,sla_breach_rate_pct,order_volume_share_pct,profit_share_pct,profit_vs_volume_gap_pct,profit_at_risk_usd
LATAM,17181,9235762.09,1123321.61,12.16,57.06,26.13,28.32,2.19,1031698.77
Europe,18561,9769198.32,1169442.96,11.97,57.44,28.23,29.48,1.25,1126755.97
USCA,8579,4553499.92,564313.78,12.39,57.34,13.05,14.23,1.18,511873.07
Africa,3854,2061679.39,252071.18,12.23,56.62,5.86,6.35,0.49,226663.32
Pacific Asia,17577,7434262.65,857753.44,11.54,57.64,26.73,21.62,-5.11,856337.29
